id,year,list_index,name,slug,description,category,verification_status,published_on,mit_source_url,benchmark_ticker
167,2005,2,Quantum Wires,2005-quantum-wires,One-dimensional conductors with quantum behavior.,hardware,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
168,2005,3,Silicon Photonics,2005-silicon-photonics,Optical communication built in silicon chip processes.,hardware,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
169,2005,4,Metabolomics,2005-metabolomics,Systematic measurement of metabolites in cells and tissues.,biotech,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
170,2005,5,Magnetic-Resonance Force Microscopy,2005-magnetic-resonance-force-microscopy,Imaging at molecular scale with magnetic resonance.,hardware,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
171,2005,6,Universal Memory,2005-universal-memory,"Memory that aims to replace DRAM, flash, and hard disks.",hardware,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
172,2005,7,Bacterial Factories,2005-bacterial-factories,Engineered microbes as chemical production plants.,biotech,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
173,2005,8,Enviromatics,2005-enviromatics,Informatics for environmental monitoring and prediction.,energy,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
174,2005,9,Cell-Phone Viruses,2005-cell-phone-viruses,Malware spreading across mobile handsets.,consumer,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
175,2005,10,Biomechatronics,2005-biomechatronics,Machines integrated with the human neuromuscular system.,biotech,verified,2005-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
176,2006,1,Nanomedicine,2006-nanomedicine,Medical devices and drugs at the nanoscale.,biotech,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
177,2006,2,Nanobiomechanics,2006-nanobiomechanics,Measuring mechanical forces inside cells.,biotech,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
178,2006,3,Epigenetics,2006-epigenetics,Heritable gene-activity changes without rewriting DNA sequence.,biotech,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
179,2006,4,Comparative Interactomics,2006-comparative-interactomics,Comparing protein-interaction networks across species.,biotech,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
180,2006,5,Diffusion Tensor Imaging,2006-diffusion-tensor-imaging,MRI that maps white-matter tracts in the brain.,biotech,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
181,2006,6,Cognitive Radio,2006-cognitive-radio,Radios that find and use spare spectrum dynamically.,hardware,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
182,2006,7,Pervasive Wireless,2006-pervasive-wireless,Always-on wireless coverage as a default layer.,hardware,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
183,2006,8,Universal Authentication,2006-universal-authentication,One identity system across services and devices.,consumer,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
184,2006,9,Nuclear Reprogramming,2006-nuclear-reprogramming,Resetting adult cells toward an embryonic-like state.,biotech,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
185,2006,10,Stretchable Silicon,2006-stretchable-silicon,Electronics that bend and stretch with the body or device.,hardware,verified,2006-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
186,2007,1,Peering into Video's Future,2007-peering-into-videos-future,Internet video moving from clips to a primary medium.,consumer,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
187,2007,2,Nanocharging Solar,2007-nanocharging-solar,Nanomaterials to raise solar conversion efficiency.,energy,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
188,2007,3,Invisible Revolution,2007-invisible-revolution,Metamaterials that steer light around objects.,hardware,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
189,2007,4,Personalized Medical Monitors,2007-personalized-medical-monitors,"Continuous, personal diagnostic sensors.",biotech,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
190,2007,5,Single-Cell Analysis,2007-single-cell-analysis,Measuring biology one cell at a time.,biotech,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
191,2007,6,A New Focus for Light,2007-a-new-focus-for-light,Lenses and optics that beat old diffraction limits.,hardware,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
192,2007,7,Neuron Control,2007-neuron-control,Tools to switch neurons on and off.,biotech,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
193,2007,8,Nanohealing,2007-nanohealing,Nanomaterials that stop bleeding or repair tissue.,biotech,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
194,2007,9,"Digital Imaging, Reimagined",2007-digital-imaging-reimagined,New camera architectures beyond the conventional sensor.,hardware,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
195,2007,10,Augmented Reality,2007-augmented-reality,Graphics registered onto the real world.,consumer,verified,2007-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
196,2008,1,Modeling Surprise,2008-modeling-surprise,Systems that detect and reason about unexpected events.,ai,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
197,2008,2,Probabilistic Chips,2008-probabilistic-chips,Processors that trade a little error for a lot of efficiency.,hardware,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
198,2008,3,NanoRadio,2008-nanoradio,Radios built from nanoscale mechanical resonators.,hardware,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
199,2008,4,Wireless Power,2008-wireless-power,Transferring energy without a cable.,hardware,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
200,2008,5,Atomic Magnetometers,2008-atomic-magnetometers,Tiny sensors of magnetic fields at atomic sensitivity.,hardware,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
201,2008,6,Offline Web Applications,2008-offline-web-applications,Web apps that keep working without a live connection.,consumer,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
202,2008,7,Graphene Transistors,2008-graphene-transistors,Carbon-sheet electronics as a silicon alternative.,hardware,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
203,2008,8,Connectomics,2008-connectomics,Mapping every connection in a nervous system.,biotech,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
204,2008,9,Reality Mining,2008-reality-mining,Inferring social behavior from phone and sensor traces.,ai,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
205,2008,10,Cellulolytic Enzymes,2008-cellulolytic-enzymes,Enzymes that break cellulose into fuel sugars.,energy,verified,2008-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
206,2009,1,Intelligent Software Assistant,2009-intelligent-software-assistant,Software that acts on a user's behalf from natural language.,ai,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
207,2009,2,$100 Genome,2009-100-genome,Sequencing cheap enough for routine medicine.,biotech,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
208,2009,3,Racetrack Memory,2009-racetrack-memory,IBM's dense magnetic-domain memory concept.,hardware,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
209,2009,4,Biological Machines,2009-biological-machines,Living systems engineered as machines.,biotech,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
210,2009,5,Paper Diagnostics,2009-paper-diagnostics,"Medical tests printed on paper for cheap, distributed use.",biotech,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
211,2009,6,Liquid Battery,2009-liquid-battery,Flowing-electrolyte storage for the grid.,energy,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
212,2009,7,Traveling-Wave Reactor,2009-traveling-wave-reactor,A reactor design that burns depleted uranium more completely.,energy,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
213,2009,8,Nanopiezoelectronics,2009-nanopiezoelectronics,Nanowires that generate current from mechanical strain.,hardware,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
214,2009,9,HashCache,2009-hashcache,"A caching scheme for cheap, large-scale web storage.",ai,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
215,2009,10,Software-Defined Networking,2009-software-defined-networking,Network control pulled out of hardware into software.,hardware,verified,2009-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
216,2010,1,Real-Time Search,2010-real-time-search,Search that includes what was just posted.,ai,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
217,2010,2,Mobile 3-D,2010-mobile-3-d,Stereoscopic 3-D on phones and handhelds.,consumer,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
218,2010,3,Engineered Stem Cells,2010-engineered-stem-cells,Stem cells made more controllable for therapy.,biotech,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
219,2010,4,Solar Fuel,2010-solar-fuel,Using sunlight to make chemical fuels.,energy,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
220,2010,5,Light-Trapping Photovoltaics,2010-light-trapping-photovoltaics,Cell textures that trap more of the incoming light.,energy,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
221,2010,6,Social TV,2010-social-tv,Television designed around chatting and sharing.,consumer,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
222,2010,7,Green Concrete,2010-green-concrete,Cement and concrete with a much smaller carbon footprint.,energy,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
223,2010,8,Implantable Electronics,2010-implantable-electronics,Electronics meant to live inside the body.,biotech,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
224,2010,9,Dual-Action Antibodies,2010-dual-action-antibodies,Antibodies engineered to bind two targets at once.,biotech,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
225,2010,10,Cloud Programming,2010-cloud-programming,Languages and tools built for cloud-scale software.,ai,verified,2010-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
226,2011,1,Social Indexing,2011-social-indexing,Ranking information using a person's social graph.,ai,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
227,2011,2,Smart Transformers,2011-smart-transformers,Grid transformers that sense and switch in real time.,energy,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
228,2011,3,Gestural Interfaces,2011-gestural-interfaces,Computers controlled by hand and body motion.,consumer,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
229,2011,4,Cancer Genomics,2011-cancer-genomics,Sequencing tumors to choose treatment.,biotech,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
230,2011,5,Solid-State Batteries,2011-solid-state-batteries,Batteries that replace liquid electrolyte with solid material.,energy,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLE
231,2011,6,Homomorphic Encryption,2011-homomorphic-encryption,Computing on data without decrypting it.,ai,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
232,2011,7,Cloud Streaming,2011-cloud-streaming,Running software in the cloud and streaming the result.,consumer,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
233,2011,8,Crash-Proof Code,2011-crash-proof-code,Methods that make software fail less often.,ai,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
234,2011,9,Separating Chromosomes,2011-separating-chromosomes,Reading maternal and paternal chromosomes apart.,biotech,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
235,2011,10,Synthetic Cells,2011-synthetic-cells,Cells whose genomes are written rather than inherited.,biotech,verified,2011-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
236,2012,1,Egg Stem Cells,2012-egg-stem-cells,Stem cells that can become human eggs.,biotech,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
237,2012,2,Ultra-Efficient Solar,2012-ultra-efficient-solar,Photovoltaics pushing conversion efficiency higher.,energy,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
238,2012,3,Light-Field Photography,2012-light-field-photography,Cameras that capture a scene to refocus later.,consumer,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
239,2012,4,Solar Microgrids,2012-solar-microgrids,"Local solar-plus-storage grids, especially off the main grid.",energy,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
240,2012,5,3-D Transistors,2012-3-d-transistors,FinFET-style transistors leaving the flat plane.,hardware,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
241,2012,6,A Faster Fourier Transform,2012-a-faster-fourier-transform,A faster algorithm for a core signal-processing transform.,ai,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
242,2012,7,Nanopore Sequencing,2012-nanopore-sequencing,Reading DNA as it threads through a nanopore.,biotech,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
243,2012,8,Crowdfunding,2012-crowdfunding,Raising capital from large numbers of small backers.,consumer,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
244,2012,9,High-Speed Materials Discovery,2012-high-speed-materials-discovery,Combinatorial methods to find new materials faster.,hardware,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
245,2012,10,Facebook's Timeline,2012-facebooks-timeline,A chronological social profile as a product pattern.,consumer,verified,2012-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
31,2013,1,Deep Learning,2013-deep-learning,Multi-layer neural nets becoming practical for perception and speech.,ai,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
32,2013,2,Ultra-Efficient Solar Power,2013-ultra-efficient-solar-power,Higher-efficiency photovoltaics approaching cost competitiveness.,energy,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
33,2013,3,Big Data from Cheap Phones,2013-big-data-from-cheap-phones,Mobile devices as a planetary sensor network.,ai,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
34,2013,4,Temporary Social Media,2013-temporary-social-media,Ephemeral posts as a product pattern.,consumer,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
35,2013,5,Smart Watches,2013-smart-watches,Wrist computers leaving niche gadget status.,consumer,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
246,2013,6,Memory Implants,2013-memory-implants,Neural prostheses aimed at restoring memory.,biotech,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
247,2013,7,Baxter: The Blue-Collar Robot,2013-baxter-the-blue-collar-robot,A factory robot designed to work beside people.,hardware,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
248,2013,8,Additive Manufacturing,2013-additive-manufacturing,3-D printing moving from prototypes toward production parts.,hardware,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
249,2013,9,Prenatal DNA Sequencing,2013-prenatal-dna-sequencing,Fetal genomes read from the mother's blood.,biotech,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
250,2013,10,Supergrids,2013-supergrids,"Long-distance, high-capacity grids for renewable power.",energy,verified,2013-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
36,2014,1,Agricultural Drones,2014-agricultural-drones,UAVs for crop monitoring and spraying.,industrial,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
37,2014,2,Ultraprivate Smartphones,2014-ultraprivate-smartphones,Handsets designed around default privacy.,consumer,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
38,2014,3,Brain Mapping,2014-brain-mapping,Large-scale maps of neural connections.,biotech,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
39,2014,4,Neuromorphic Chips,2014-neuromorphic-chips,Processors that mimic neural architecture.,hardware,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SOXX
40,2014,5,Genome Editing,2014-genome-editing,CRISPR-class tools to rewrite DNA.,biotech,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
41,2014,6,Microscale 3-D Printing,2014-microscale-3-d-printing,Additive manufacturing at very small feature sizes.,hardware,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
42,2014,7,Mobile Collaboration,2014-mobile-collaboration,Work tools built for phones rather than desks.,consumer,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
43,2014,8,Oculus Rift,2014-oculus-rift,Consumer VR headset that reset expectations for virtual reality.,consumer,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
44,2014,9,Agile Robots,2014-agile-robots,Robots that balance and move in unstructured spaces.,hardware,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
45,2014,10,Smart Wind and Solar Power,2014-smart-wind-and-solar-power,Forecasting and controls that make renewables dispatchable.,energy,verified,2014-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
46,2015,1,Magic Leap,2015-magic-leap,Optical see-through AR as a computing platform.,consumer,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
47,2015,2,Nano-Architecture,2015-nano-architecture,Materials whose properties come from nanoscale geometry.,hardware,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
48,2015,3,Car-to-Car Communication,2015-car-to-car-communication,Vehicles sharing state to reduce collisions.,industrial,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
49,2015,4,Project Loon,2015-project-loon,Balloon-based internet for uncovered regions.,consumer,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
50,2015,5,Liquid Biopsy,2015-liquid-biopsy,Cancer detection from blood rather than tissue.,biotech,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
51,2015,6,Megascale Desalination,2015-megascale-desalination,Very large plants making seawater a municipal supply.,energy,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
52,2015,7,Apple Pay,2015-apple-pay,NFC payments reaching default consumer behavior.,consumer,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
53,2015,8,Brain Organoids,2015-brain-organoids,Lab-grown mini-brains for research.,biotech,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
54,2015,9,Supercharged Photosynthesis,2015-supercharged-photosynthesis,Rewiring plants to fix carbon more efficiently.,energy,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
55,2015,10,Internet of DNA,2015-internet-of-dna,Shared genomic databases across labs and clinics.,biotech,verified,2015-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
56,2016,1,Immune Engineering,2016-immune-engineering,Reprogramming immune cells as living drugs.,biotech,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
57,2016,2,Precise Gene Editing in Plants,2016-precise-gene-editing-in-plants,CRISPR applied to crops.,biotech,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
58,2016,3,Conversational Interfaces,2016-conversational-interfaces,Voice assistants as a primary computer interface.,ai,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
59,2016,4,Reusable Rockets,2016-reusable-rockets,Orbital-class boosters that land and fly again.,space,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,ITA
60,2016,5,Robots That Teach Each Other,2016-robots-that-teach-each-other,Skill transfer across robot fleets.,ai,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
61,2016,6,DNA App Store,2016-dna-app-store,On-demand genetic constructs as a service.,biotech,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
62,2016,7,SolarCity's Gigafactory,2016-solarcitys-gigafactory,US-scale solar manufacturing bet.,energy,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
63,2016,8,Slack,2016-slack,Workplace chat displacing email threads.,consumer,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
64,2016,9,Tesla Autopilot,2016-tesla-autopilot,Highway driver assistance as a consumer product.,industrial,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLY
251,2016,10,Power from the Air,2016-power-from-the-air,Harvesting energy from ambient radio waves.,hardware,verified,2016-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
65,2017,1,Reversing Paralysis,2017-reversing-paralysis,Neural interfaces restoring movement.,biotech,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
66,2017,2,Self-Driving Trucks,2017-self-driving-trucks,"Autonomy first on highways, not city streets.",industrial,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLY
67,2017,3,Paying with Your Face,2017-paying-with-your-face,Face as authentication for payments.,consumer,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
68,2017,4,Practical Quantum Computers,2017-practical-quantum-computers,Machines leaving pure lab demos toward usable qubits.,hardware,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XLK
69,2017,5,The 360-Degree Selfie,2017-the-360-degree-selfie,Consumer capture of full spherical video.,consumer,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,SPY
70,2017,6,Hot Solar Cells,2017-hot-solar-cells,Harvesting waste heat to raise solar efficiency.,energy,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,TAN
71,2017,7,Gene Therapy 2.0,2017-gene-therapy-2-0,Approved gene therapies after decades of false starts.,biotech,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
72,2017,8,The Cell Atlas,2017-the-cell-atlas,A reference map of human cell types.,biotech,verified,2017-02-01,https://www.technologyreview.com/supertopic/tr10-archive/,XBI
